Index,Sentence
1,吾生也有涯
2,而知也无涯
3,以有涯隨无涯
4,殆已
5,已而爲知者
6,殆而已矣
7,爲善无近名
8,爲惡无近刑
9,緣督以爲經
10,可以保身
11,可以全生
12,可以養親
13,可以盡年
14,庖丁爲文惠君解牛
15,手之所觸
16,肩之所倚
17,足之所履
18,膝之所踦
19,砉然嚮然
20,奏刀騞然
21,莫不中音
22,合於《桑林》之舞
23,乃中《經首》之會
24,文惠君曰
25,「譆
26,善哉
27,技蓋至此乎
28,」庖丁釋刀對曰
29,「臣之所好者
30,道也
31,進乎技矣
32,始臣之解牛之時
33,所見无非牛者
34,三年之後
35,未嘗見全牛也
36,方今之時
37,臣以神遇而不以目視
38,官知止而神欲行
39,依乎天理
40,批大郤
41,導大窾
42,因其固然
43,技經肯綮之未嘗
44,而況大軱乎
45,良庖歲更刀
46,割也
47,族庖月更刀
48,折也
49,今臣之刀十九年矣
50,所解數千牛矣
51,而刀刃若新發於硎
52,彼節者有間
53,而刀刃者无厚
54,以无厚入有間
55,恢恢乎其於遊刃必有餘地矣
56,是以十九年而刀刃若新發於硎
57,雖然
58,每至於族
59,吾見其難爲
60,怵然爲戒
61,視爲止
62,行爲遟
63,動刀甚微
64,謋然已解
65,如土委地
66,提刀而立
67,爲之四顧
68,爲之躊躇滿志
69,善刀而藏之
70,」文惠君曰
71,「善哉
72,吾聞庖丁之言
73,得養生焉
74,」公文軒見右師而驚
75,曰
76,「是何人也
77,惡乎介也
78,天與
79,其人與
80,」曰
81,「天也
82,非人也
83,天之生是使獨也
84,人之貌有與也
85,以是知其天也
86,非人也
87,」澤雉十步一啄
88,百步一飲
89,不蘄畜乎樊中
90,神雖王
91,不善也
92,老聃死
93,秦失弔之
94,三號而出
95,弟子曰
96,「非夫子之友邪
97,」曰
98,「然
99,」「然則弔焉若此
100,可乎
101,」曰
102,「然
103,始也吾以爲其人也
104,而今非也
105,向吾入而弔焉
106,有老者哭之
107,如哭其子
108,少者哭之
109,如哭其母
110,彼其所以會之
111,必有不蘄言而言
112,不蘄哭而哭者
113,是遁天倍情
114,忘其所受
115,古者謂之遁天之刑
116,適來
117,夫子時也
118,適去
119,夫子順也
120,安時而處順
121,哀樂不能入也
122,古者謂是帝之縣解
123,」指窮於爲薪
124,火傳也
125,不知其盡也
